2014-02-26 05:15:36.041 PM	****** Start Logging ******
2014-02-26 05:15:36.041 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:15:42.211 PM	Validate	**Start Validate***
2014-02-26 05:15:43.554 PM	Validate	**For each***
2014-02-26 05:15:43.554 PM	Validate	**For each***
2014-02-26 05:15:43.554 PM	Validate	**For each***
2014-02-26 05:15:43.554 PM	Validate	**End Validate Myret True**
2014-02-26 05:15:43.554 PM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-26 05:15:43.554 PM	ToolStripButton2_Click	**DbAdapter**
2014-02-26 05:15:43.648 PM	ToolStripButton2_Click	**DbAdapter True**
2014-02-26 05:15:43.648 PM	ToolStripButton2_Click	**For Row Delete**
2014-02-26 05:15:43.664 PM	ToolStripButton2_Click	**Row Deleted**
2014-02-26 05:15:43.664 PM	ToolStripButton2_Click	**DS Merged**
2014-02-26 05:15:45.788 PM	ToolStripButton2_Click	**Copy File**
2014-02-26 05:15:48.209 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:23:28.155 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:23:31.013 PM	Validate	**Start Validate***
2014-02-26 05:23:31.013 PM	Validate	**For each***
2014-02-26 05:23:31.013 PM	Validate	**For each***
2014-02-26 05:23:31.013 PM	Validate	**For each***
2014-02-26 05:23:31.013 PM	Validate	**End Validate Myret True**
2014-02-26 05:23:31.013 PM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-26 05:23:31.013 PM	ToolStripButton2_Click	**DbAdapter**
2014-02-26 05:23:31.170 PM	ToolStripButton2_Click	**DbAdapter True**
2014-02-26 05:23:31.170 PM	ToolStripButton2_Click	**For Row Delete**
2014-02-26 05:23:31.170 PM	ToolStripButton2_Click	**Row Deleted**
2014-02-26 05:23:31.170 PM	ToolStripButton2_Click	**DS Merged**
2014-02-26 05:23:36.996 PM	ToolStripButton2_Click	**Copy File**
2014-02-26 05:23:37.012 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:26:19.152 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:26:19.152 PM	Validate	**Start Validate***
2014-02-26 05:26:19.168 PM	Validate	**For each***
2014-02-26 05:26:19.168 PM	Validate	**For each***
2014-02-26 05:26:19.168 PM	Validate	**For each***
2014-02-26 05:26:19.168 PM	Validate	**End Validate Myret False**
2014-02-26 05:26:19.168 PM	ToolStripButton2_Click	**Validate False**
2014-02-26 05:26:19.168 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:27:35.568 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:27:35.568 PM	Validate	**Start Validate***
2014-02-26 05:27:35.568 PM	Validate	**For each***
2014-02-26 05:27:35.568 PM	Validate	**For each***
2014-02-26 05:27:35.568 PM	Validate	**For each***
2014-02-26 05:27:35.568 PM	Validate	**End Validate Myret True**
2014-02-26 05:27:35.584 PM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-26 05:27:35.584 PM	ToolStripButton2_Click	**DbAdapter**
2014-02-26 05:27:35.677 PM	ToolStripButton2_Click	**DbAdapter True**
2014-02-26 05:27:35.677 PM	ToolStripButton2_Click	**For Row Delete**
2014-02-26 05:27:35.677 PM	ToolStripButton2_Click	**Row Deleted**
2014-02-26 05:27:35.677 PM	ToolStripButton2_Click	**DS Merged**
2014-02-26 05:27:36.739 PM	ToolStripButton2_Click	**Copy File**
2014-02-26 05:27:36.739 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:42:24.146 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:42:24.146 PM	Validate	**Start Validate***
2014-02-26 05:42:24.146 PM	Validate	**For each***
2014-02-26 05:42:32.534 PM	Validate	**For each***
2014-02-26 05:42:32.534 PM	Validate	**For each***
2014-02-26 05:42:33.550 PM	Validate	**End Validate Myret False**
2014-02-26 05:42:33.550 PM	ToolStripButton2_Click	**Validate False**
2014-02-26 05:42:33.550 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:44:37.873 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:44:37.873 PM	Validate	**Start Validate***
2014-02-26 05:44:37.873 PM	Validate	**For each***
2014-02-26 05:44:41.794 PM	Validate	**For each***
2014-02-26 05:44:44.449 PM	Validate	**For each***
2014-02-26 05:44:47.776 PM	Validate	**End Validate Myret False**
2014-02-26 05:44:47.776 PM	ToolStripButton2_Click	**Validate False**
2014-02-26 05:44:47.776 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:45:32.357 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:45:32.357 PM	Validate	**Start Validate***
2014-02-26 05:45:32.357 PM	Validate	**For each***
2014-02-26 05:45:36.418 PM	Validate	**For each***
2014-02-26 05:45:42.729 PM	Validate	**For each***
2014-02-26 05:45:45.103 PM	Validate	**End Validate Myret False**
2014-02-26 05:45:45.103 PM	ToolStripButton2_Click	**Validate False**
2014-02-26 05:45:45.103 PM	ToolStripButton2_Click	**End Submit***
2014-02-26 05:46:16.907 PM	ToolStripButton2_Click	**Start Submit***
2014-02-26 05:46:16.907 PM	Validate	**Start Validate***
2014-02-26 05:46:16.907 PM	Validate	**For each***
2014-02-26 05:46:16.922 PM	Validate	**For each***
2014-02-26 05:46:16.922 PM	Validate	**For each***
2014-02-26 05:46:16.922 PM	Validate	**End Validate Myret False**
2014-02-26 05:46:16.922 PM	ToolStripButton2_Click	**Validate False**
2014-02-26 05:46:16.922 PM	ToolStripButton2_Click	**End Submit***
2014-02-27 09:52:08.910 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 09:52:08.925 AM	Validate	**Start Validate***
2014-02-27 09:52:08.925 AM	Validate	**For each***
2014-02-27 09:52:08.925 AM	Validate	**End Validate Myret True**
2014-02-27 09:52:08.957 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
